Gene_name	FeAnBF	FeAnO	FeAnSF	FeAtO	FeAtSF	FeBrBF	FeBrO	FeBrSF	FeFLO	FeFLSF	FeHLBF	FeHLO	FeHLSF	FeMLO	FeMLSF	FeOsSF	FeOvO	FeOvSF	FePaSF	FeRsBF	FeRsSF	MaAn	MaAT	MaBr	MaFL	MaHL	MaML	MaRs
Ir41a	8.988973894	15.52750926	12.33404579	0.107193968	0	0.022272116	0.015468716	0.028079678	0.085698305	0.032650374	0.005060862	0.02956761	0.024981973	0.01221972	0.024321848	3.098806645	0.839936179	0.291017199	0.208989278	2.088826026	1.922829072	8.694442362	0.015937689	0.018180067	0.045594695	0.021334263	0.062263612	1.707743363
Ir41b	9.636488835	11.59281375	11.79218363	0	0	0	0.015386445	0.020947717	0.118730255	0.071448499	0.025169629	0.012866982	0.013554058	0.039502735	0.056448857	5.094167536	0.054964761	0.011578756	0.088458328	3.301085593	3.015217251	12.04232	0.003170571	0	0.199549237	0.037136235	0.082576523	2.672224964
Ir41c	29.67405636	37.27692538	30.76270618	0.002568535	0	0.016010224	0.004942066	0.015699406	0.005867045	0	0	0	0	0.002928031	0	12.13638618	0.063556157	0.072521533	0.362259156	8.17873241	6.294246423	12.17350482	0	0.008712464	0	0.005112011	0	5.247997098
Ir41d	0.283816528	0.303611268	0.366650574	0.005385638	0.006158687	0.005594972	0.020724736	0.007053873	0.009226385	0.019684957	0.005085351	0.014855336	0.002282078	0.003069705	0	8.938751748	0.133262983	0.17545558	0.040212871	6.266154169	7.58072647	0.147621305	0	0	0	0.013398439	0.010427483	5.362005454
Ir41e	2.171911883	1.436550898	1.921452015	0	0.006003756	0.010908444	0.010101716	0.002292144	0.047969581	0.051172834	0.168552272	0.110422258	0.135704759	0.080797045	0.087357032	0.456067022	0.005412938	0.074118023	0.770957863	0.308661455	0.252166055	2.740786821	0	0.017808512	0.384099506	0.347432332	0.284624541	0.308893373
Ir41f	22.71494187	26.45614084	21.49941965	0.082545319	0.006089933	0.044260152	0.005123348	0.009300144	0.009123361	0.006488408	0.010057122	0.003672355	0.013539575	0	0	11.17477705	3.162606238	3.614515233	0.649477877	8.913029319	6.593000359	7.159314087	0	0	0.00906077	0.01854832	0	6.665328765
Ir41g	1.003125209	0.947932843	1.027710673	0.002768735	0	0.040268971	0	0.03384619	0.006324319	0.006746659	0.005228727	0.015274131	0.004692837	0.009468734	0.025128444	15.64122856	0.005709173	0.030066914	0.326178428	10.66450754	8.956000044	0.662326726	0	0	0	0.005510449	0	7.785304903
Ir41h	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.019266904	0.00557963	0	0	0	0.005304723	0	0	0	0	0	0	0.004135139
Ir41i	0	0	0.01155253	0	0	0	0	0	0	0	0	0	0	0	0	0.007587867	0	0.005786299	0	0	0	0	0	0	0	0	0	0
Ir41j	2.419537006	2.762497281	2.544902551	0	0	0.023517793	0.010889291	0.037062781	0.300561436	0.193068558	0.213757296	0.150252741	0.172664443	0.245160581	0.154093119	2.409769572	0.01750494	0.036875409	0.192506539	1.915863883	1.686432877	1.805121145	0.01009749	0.009598472	0.240724857	0.351992441	0.219154137	1.565423124
